iter	Passed	Remaining
160	8390	252170
161	8431	251785
162	8473	251458
163	8517	251147
164	8558	250801
165	8599	250425
166	8640	250071
167	8681	249702
168	8725	249415
169	8780	249472
170	8827	249289
171	8872	249050
172	8919	248878
173	8965	248658
174	9014	248541
175	9062	248395
176	9110	248247
177	9156	248060
178	9202	247851
179	9246	247591
180	9294	247458
181	9341	247305
182	9386	247078
183	9465	247755
184	9530	248056
185	9615	248864
186	9672	248954
187	9735	249190
188	9784	249076
189	9849	249339
190	9915	249663
191	9977	249849
192	10029	249812
193	10075	249603
194	10122	249437
195	10166	249193
196	10210	248943
197	10252	248642
198	10296	248408
199	10339	248158
200	10385	247952
201	10431	247765
202	10473	247506
203	10522	247388
204	10565	247140
205	10609	246903
206	10657	246771
207	10697	246460
208	10737	246150
209	10778	245846
210	10822	245639
211	10859	245268
212	10904	245079
213	10954	244987
214	11009	245021
215	11052	244791
216	11077	244161
217	11122	243979
218	11163	243717
219	11205	243468
220	11253	243347
221	11293	243065
222	11334	242808
223	11378	242598
224	11423	242433
225	11467	242230
226	11511	242036
227	11551	241761
228	11595	241576
229	11641	241442
230	11683	241213
231	11727	241022
232	11771	240832
233	11813	240614
234	11860	240483
235	11905	240327
236	11954	240250
237	12008	240263
238	12053	240108
239	12104	240069
240	12147	239875
241	12194	239758
242	12234	239503
243	12275	239272
244	12319	239098
245	12360	238873
246	12402	238664
247	12446	238497
248	12497	238448
249	12564	238723
250	12638	239132
251	12697	239238
252	12752	239280
253	12801	239192
254	12887	239810
255	12939	239786
256	13010	240114
257	13105	240868
258	13219	241986
259	13380	243942
260	13412	243538
261	13499	244120
262	13586	244711
263	13683	245474
264	13772	246094
265	13859	246665
266	13903	246456
267	13986	246958
268	14069	247441
269	14162	248103
270	14246	248596
271	14333	249152
272	14418	249648
273	14507	250235
274	14603	250922
275	14715	251866
276	14802	252386
277	14901	253111
278	15003	253876
279	15119	254867
280	15219	255597
281	15313	256204
282	15424	257090
283	15536	257985
284	15646	258852
285	15757	259727
286	15869	260609
287	15975	261381
288	16089	262268
289	16201	263130
290	16299	263766
291	16390	264267
292	16487	264863
293	16591	265576
294	16688	266169
295	16814	267209
296	16921	267944
297	17028	268679
298	17151	269658
299	17291	270907
300	17423	272004
301	17544	272925
302	17640	273450
303	17730	273882
304	17821	274338
305	17938	275167
306	18029	275611
307	18136	276285
308	18236	276850
309	18324	277226
310	18435	277953
311	18557	278835
312	18654	279335
313	18756	279915
314	18858	280482
315	18959	281027
316	19052	281465
317	19150	281956
318	19259	282606
319	19378	283408
320	19464	283726
321	19549	284012
322	19648	284509
323	19732	284777
324	19843	285439
325	19881	285045
326	19979	285510
327	20080	286024
328	20178	286484
329	20262	286741
330	20354	287109
331	20452	287561
332	20548	287981
333	20645	288419
334	20734	288734
335	20826	289085
336	20937	289703
337	21033	290116
338	21097	290077
339	21211	290727
340	21321	291306
341	21380	291205
342	21516	292129
343	21620	292630
344	21737	293299
345	21848	293877
346	21966	294555
347	22064	294955
348	22151	295201
349	22261	295754
350	22361	296177
351	22455	296517
352	22555	296921
353	22661	297421
354	22772	297969
355	22882	298497
356	22984	298928
357	23083	299317
358	23191	299812
359	23287	300154
360	23383	300485
361	23472	300734
362	23573	301131
363	23667	301441
364	23751	301617
365	23828	301695
366	23910	301842
367	23996	302043
368	24082	302243
369	24168	302429
370	24253	302608
371	24350	302946
372	24438	303150
373	24523	303325
374	24615	303595
375	24707	303852
376	24802	304147
377	24903	304503
378	25010	304938
379	25100	305168
380	25191	305403
381	25286	305688
382	25372	305864
383	25464	306109
384	25563	306430
385	25656	306679
386	25735	306767
387	25834	307085
388	25928	307338
389	26035	307748
390	26135	308073
391	26248	308552
392	26356	308965
393	26465	309391
394	26565	309706
395	26670	310075
396	26783	310544
397	26888	310904
398	27005	311413
399	27105	311712
400	27192	311869
401	27314	312416
402	27433	312928
403	27541	313318
404	27651	313721
405	27751	314018
406	27844	314219
407	27950	314583
408	28049	314850
409	28152	315173
410	28240	315323
411	28349	315700
412	28470	316208
413	28586	316661
414	28700	317087
415	28799	317346
416	28905	317688
417	29023	318151
418	29142	318618
419	29243	318897
420	29320	318902
421	29406	319016
422	29497	319175
423	29591	319362
424	29697	319685
425	29788	319842
426	29883	320043
427	29981	320270
428	30094	320656
429	30200	320969
430	30321	321436
431	30417	321641
432	30516	321872
433	30616	322109
434	30709	322271
435	30802	322435
436	30907	322727
437	31010	322987
438	31125	323374
439	31227	323628
440	31337	323961
441	31458	324411
442	31581	324869
443	31682	325098
444	31781	325316
445	31865	325372
446	31964	325584
447	32058	325741
448	32152	325891
449	32258	326172
450	32363	326431
451	32475	326768
452	32593	327156
453	32708	327516
454	32826	327901
455	32947	328316
456	33050	328554
457	33175	328998
458	33283	329286
459	33383	329478
460	33482	329669
461	33585	329891
462	33698	330220
463	33806	330490
464	33910	330716
465	33996	330774
466	34101	331008
467	34193	331117
468	34284	331221
469	34389	331453
470	34483	331586
471	34588	331812
472	34692	332032
473	34801	332307
474	34914	332606
475	35019	332827
476	35139	333203
477	35260	333571
478	35371	333851
479	35491	334207
480	35611	334571
481	35706	334696
482	35811	334905
483	35924	335200
484	36016	335283
485	36114	335434
486	36206	335527
487	36304	335664
488	36413	335916
489	36503	335982
490	36609	336198
491	36688	336165
492	36785	336289
493	36886	336462
494	36989	336641
495	37081	336721
496	37168	336756
497	37268	336911
498	37364	337032
499	37466	337198
500	37567	337360
501	37668	337514
502	37781	337782
503	37894	338042
504	38005	338285
505	38101	338391
506	38210	338620
507	38318	338836
508	38423	339013
509	38537	339277
510	38649	339524
511	38747	339642
512	38850	339807
513	38963	340057
514	39065	340210
515	39162	340321
516	39272	340538
517	39390	340827
518	39495	340998
519	39601	341181
520	39705	341347
521	39814	341549
522	39930	341814
523	40042	342046
524	40156	342285
525	40266	342496
526	40384	342769
527	40488	342924
528	40608	343215
529	40713	343375
530	40821	343558
531	40918	343651
532	41019	343776
533	41132	344003
534	41222	344036
535	41330	344211
536	41450	344493
537	41571	344782
538	41684	345000
539	41783	345103
540	41884	345218
541	41983	345316
542	42082	345419
543	42176	345474
544	42274	345563
545	42388	345785
546	42497	345966
547	42606	346140
548	42716	346320
549	42814	346408
550	42910	346478
551	43005	346535
552	43106	346645
553	43210	346778
554	43326	347004
555	43434	347165
556	43550	347386
557	43657	347538
558	43758	347637
559	43854	347707
560	43966	347887
561	44067	347991
562	44167	348084
563	44275	348237
564	44371	348299
565	44467	348355
566	44564	348423
567	44670	348558
568	44755	348525
569	44845	348533
570	44948	348643
571	45048	348730
572	45146	348799
573	45243	348867
574	45335	348889
575	45438	348994
576	45539	349082
577	45628	349085
578	45706	348998
579	45814	349141
580	45922	349278
581	46050	349570
582	46154	349678
583	46255	349770
584	46350	349808
585	46449	349874
586	46548	349946
587	46647	350018
588	46753	350133
589	46848	350169
590	46949	350253
591	47045	350301
592	47148	350390
593	47259	350549
594	47362	350643
595	47464	350726
596	47564	350800
597	47679	350975
598	47801	351212
599	47916	351388
600	48018	351467
601	48109	351469
602	48220	351620
603	48317	351664
604	48409	351672
605	48516	351787
606	48615	351839
607	48728	351997
608	48826	352045
609	48936	352179
610	49043	352291
611	49135	352300
612	49251	352474
613	49364	352629
614	49465	352693
615	49577	352839
616	49690	352987
617	49780	352976
618	49891	353112
619	50028	353427
620	50136	353536
621	50230	353553
622	50313	353486
623	50421	353599
624	50517	353621
625	50621	353702
626	50716	353719
627	50803	353685
628	50893	353665
629	51013	353854
630	51121	353963
631	51241	354152
632	51348	354245
633	51458	354365
634	51573	354515
635	51692	354692
636	51795	354762
637	51900	354840
638	52005	354922
639	52089	354862
640	52183	354865
641	52244	354646
642	52348	354712
643	52454	354801
644	52566	354923
645	52674	355020
646	52784	355130
647	52887	355195
648	52982	355199
649	53083	355252
650	53206	355443
651	53308	355502
652	53402	355496
653	53519	355650
654	53634	355786
655	53732	355816
656	53833	355860
657	53951	356017
658	54035	355942
659	54131	355954
660	54244	356077
661	54326	355993
662	54441	356126
663	54556	356257
664	54652	356265
665	54741	356228
666	54844	356281
667	54951	356363
668	55062	356464
669	55168	356538
670	55279	356641
671	55377	356659
672	55480	356709
673	55579	356730
674	55681	356774
675	55782	356810
676	55877	356806
677	55967	356770
678	56068	356808
679	56179	356904
680	56293	357024
681	56383	356982
682	56475	356963
683	56586	357058
684	56697	357154
685	56814	357286
686	56918	357334
687	57014	357336
688	57113	357354
689	57210	357356
690	57323	357461
691	57431	357538
692	57542	357625
693	57649	357692
694	57751	357725
695	57868	357851
696	57977	357929
697	58083	357986
698	58201	358119
699	58311	358199
700	58415	358243
701	58539	358406
702	58653	358509
703	58756	358548
704	58869	358644
705	58970	358667
706	59072	358697
707	59161	358644
708	59258	358645
709	59356	358644
710	59457	358667
711	59574	358783
712	59695	358928
713	59799	358961
714	59900	358985
715	60017	359098
716	60115	359098
717	60210	359080
718	60314	359119
719	60410	359104
720	60499	359055
721	60594	359037
722	60687	359002
723	60777	358957
724	60867	358910
725	60955	358846
726	61064	358913
727	61165	358926
728	61267	358947
729	61365	358947
730	61461	358933
731	61562	358944
732	61673	359020
733	61781	359075
734	61879	359066
735	61966	359000
736	62046	358890
737	62149	358918
738	62263	359005
739	62361	358998
740	62462	359012
741	62556	358985
742	62658	358999
743	62766	359049
744	62871	359085
745	62973	359099
746	63076	359119
747	63215	359349
748	63321	359385
749	63410	359324
750	63513	359347
751	63613	359348
752	63740	359502
753	63859	359609
754	63965	359645
755	64059	359614
756	64159	359612
757	64277	359714
758	64382	359745
759	64478	359720
760	64586	359763
761	64698	359832
762	64805	359871
763	64924	359976
764	65032	360016
765	65146	360094
766	65268	360211
767	65381	360278
768	65462	360168
769	65551	360107
