iter	RMSE
142	795.9980837
143	795.6952902
144	795.5042749
145	794.9896609
146	794.6003499
147	794.3661869
148	793.9481723
149	793.7909131
150	793.5718447
151	793.2160495
152	792.9103123
153	792.6203015
154	792.4401412
155	792.2555853
156	791.9647049
157	791.6630591
158	791.4940787
159	791.1666036
160	790.9788809
161	790.8049383
162	790.6436437
163	790.4103662
164	790.1736642
165	789.9032011
166	789.6340533
167	789.3697751
168	789.1050138
169	788.9076765
170	788.6466893
171	788.4037663
172	788.1677319
173	787.8123669
174	787.734694
175	787.4709532
176	787.267222
177	787.0088329
178	786.8635456
179	786.6321696
180	786.4265938
181	786.1976497
182	786.1557171
183	786.002095
184	785.9392399
185	785.7536066
186	785.5746701
187	785.3601501
188	785.0742169
189	784.8316971
190	784.6769955
191	784.4160545
192	784.1943387
193	783.9010768
194	783.7812424
195	783.5791408
196	783.5485022
197	783.2783567
198	783.0538501
199	782.9424919
200	782.7953702
201	782.7575161
202	782.5815586
203	782.2832127
204	782.2732006
205	782.1398182
206	781.9253749
207	781.8732351
208	781.8329192
209	781.6318583
210	781.5111878
211	781.5066223
212	781.2833987
213	780.9009639
214	780.7131111
215	780.5723361
216	780.481204
217	780.3102442
218	780.2205692
219	780.1707375
220	780.0523241
221	780.0343649
222	779.9779465
223	779.7673597
224	779.6207977
225	779.5045828
226	779.3578345
227	779.1543168
228	778.9169547
229	778.6943754
230	778.6809124
231	778.3327809
232	778.1959857
233	778.0322911
234	777.9799927
235	777.9717644
236	777.9260113
237	777.8925636
238	777.5316042
239	777.2833041
240	777.0376834
241	776.7657261
242	776.733704
243	776.5436069
244	776.4878642
245	776.4719937
246	776.1421977
247	776.0288424
248	775.9388631
249	775.9164766
250	775.9059151
251	775.6567868
252	775.6158582
253	775.5887981
254	775.492592
255	775.3753351
256	775.0774961
257	774.9181525
258	774.8686277
259	774.7090355
260	774.7080044
261	774.6584432
262	774.5047301
263	774.4192672
264	773.8991605
265	773.7545165
266	773.7537233
267	773.6329829
268	773.5413243
269	773.2585634
270	773.0668087
271	772.8307441
272	772.5999103
273	772.5498594
274	772.4249904
275	772.3529458
276	772.2213824
277	772.0344899
278	771.8630634
279	771.7063078
280	771.5430306
281	771.3067843
282	771.0516516
283	770.9652633
284	770.9040105
285	770.7539111
286	770.5842175
287	770.453645
288	770.3773617
289	770.2874171
290	770.1692764
291	769.9284283
292	769.8586368
293	769.6490239
294	769.4362822
295	769.1201614
296	769.0348129
297	768.8336508
298	768.3813171
299	768.309919
300	768.1628315
301	767.9751235
302	767.8143247
303	767.6708383
304	767.3875423
305	767.2862788
306	767.0251086
307	766.9205416
308	766.9023577
309	766.7602468
310	766.6518476
311	766.5789191
312	766.5579374
313	766.5318797
314	766.4465085
315	766.3457948
316	766.2936787
317	766.2705446
318	766.2227643
319	765.9353037
320	765.5725608
321	765.4904443
322	765.4030617
323	765.3796862
324	765.1667379
325	765.165763
326	765.063882
327	764.8964605
328	764.8539348
329	764.6879605
330	764.5947775
331	764.5589477
332	764.4791097
333	764.2803548
334	764.1832699
335	764.0983531
336	764.0807275
337	764.0366252
338	764.036409
339	763.972653
340	763.5738999
341	763.5714385
342	763.2603485
343	763.0825211
344	762.9900841
345	762.7950369
346	762.690931
347	762.4687911
348	762.4480875
349	762.3699255
350	762.2764561
351	762.2660028
352	762.085792
353	761.8065913
354	761.7989321
355	761.6511515
356	761.6360037
357	761.4394315
358	761.4269061
359	761.2063225
360	761.2017108
361	761.0159827
362	760.7545393
363	760.6328775
364	760.5876864
365	760.5800034
366	760.4896428
367	760.3795251
368	760.3284022
369	760.3244882
370	760.2282131
371	760.0629153
372	759.9258785
373	759.8161468
374	759.8123434
375	759.525677
376	759.4013413
377	759.3779135
378	759.2915288
379	759.2774194
380	759.1605972
381	758.9839843
382	758.8737177
383	758.8066172
384	758.625662
385	758.5220073
386	758.1585172
387	757.8069783
388	757.7372627
389	757.7248078
390	757.7124684
391	757.4062898
392	757.062868
393	757.0476689
394	757.0399212
395	757.0308452
396	757.0259903
397	756.8992572
398	756.884839
399	756.8160719
400	756.7550296
401	756.533625
402	756.4246127
403	756.414676
404	756.077218
405	756.0055608
406	755.8481681
407	755.7365555
408	755.7199649
409	755.717722
410	755.7119432
411	755.5257244
412	755.5069529
413	755.2334975
414	754.8431523
415	754.7867181
416	754.7745036
417	754.6240277
418	754.5140559
419	754.4783873
420	754.4749221
421	754.192667
422	753.9964881
423	753.8136374
424	753.6555086
425	753.5493045
426	753.5462877
427	753.5439199
428	753.443616
429	753.3304266
430	753.280878
431	753.1136421
432	753.0373218
433	753.0352282
434	752.9387453
435	752.9078796
436	752.7834526
437	752.7087745
438	752.6677529
439	752.6301913
440	752.585432
441	752.4675221
442	752.430764
443	752.4121017
444	752.3881343
445	752.3675171
446	752.2011617
447	752.0934531
448	751.8562045
449	751.8088438
450	751.7103411
451	751.5835458
452	751.3280378
453	751.2233158
454	751.2037497
455	751.142237
456	750.9852134
457	750.8135784
458	750.667714
459	750.603698
460	750.2877411
461	750.071142
462	749.865278
463	749.8169572
464	749.7817614
465	749.7224662
466	749.6898045
467	749.6286577
468	749.5659336
469	749.4943368
470	749.4542401
471	749.3452179
472	749.2351567
473	748.9284575
474	748.8217297
475	748.6418453
476	748.382439
477	748.3687957
478	748.306562
479	748.2989774
480	748.2107238
481	748.08493
482	748.0305528
483	747.8498081
484	747.8198873
485	747.7190091
486	747.5900341
487	747.4978419
488	747.402755
489	747.2740673
490	747.2572572
491	747.179368
492	747.0703312
493	746.9594028
494	746.8546444
495	746.7793977
496	746.7651433
497	746.590314
498	746.4642477
499	746.2675063
500	746.1939945
501	746.0732681
502	746.0601144
503	745.9985191
504	745.9269323
505	745.8688179
506	745.8585792
507	745.7122735
508	745.7099112
509	745.6728418
510	745.5478363
511	745.5309531
512	745.4534098
513	745.3067412
514	745.0384457
515	744.9052655
516	744.7783926
517	744.7325113
518	744.6082307
519	744.5521696
520	744.5469363
521	744.5441907
522	744.4273194
523	744.4050277
524	744.1312997
525	743.9696073
526	743.8407379
527	743.6976848
528	743.6161792
529	743.5373084
530	743.5288656
531	743.4249658
532	743.3731236
533	743.2680857
534	743.265904
535	743.0372325
536	742.9142068
537	742.9048351
538	742.7010443
539	742.6327252
540	742.5054746
541	742.4993906
542	742.1865566
543	742.1348415
544	742.1203086
545	741.894884
546	741.6872567
547	741.6094276
548	741.514819
549	741.4501853
550	741.3088431
551	741.255368
552	741.2343813
553	741.1705924
554	741.1689089
555	741.042281
556	741.0236598
557	740.9343816
558	740.8682577
559	740.8661496
560	740.8045024
561	740.7068785
562	740.5152431
563	740.4349607
564	740.3678176
565	740.3168237
566	740.2666587
567	740.2614504
568	740.1169801
569	739.9972387
570	739.8472382
571	739.7771227
572	739.7024881
573	739.5648948
574	739.4496865
575	739.4368555
576	739.4136232
577	739.3024419
578	739.2690791
579	739.2654045
580	739.2017128
581	739.1279932
582	739.0816016
583	739.0683393
584	738.9753874
585	738.9055661
586	738.7771522
587	738.6635164
588	738.5781328
589	738.5283708
590	738.4382954
591	738.3761295
592	738.3576885
593	738.3229278
594	738.3196046
595	738.3149147
596	738.1442574
597	738.0497017
598	737.9883196
599	737.8422452
600	737.8117866
601	737.7525674
602	737.7297309
603	737.7203973
604	737.7168067
605	737.5816608
606	737.4750213
607	737.4323178
608	737.3871245
609	737.3614033
610	737.2614449
611	737.193007
612	737.1217525
613	736.9650317
614	736.7198229
615	736.6328669
616	736.6099361
617	736.2974896
618	736.2309862
619	736.0272283
620	735.8029627
621	735.735305
622	735.6704101
623	735.6497665
624	735.5718108
625	735.4643736
626	735.4514374
627	735.4419537
628	735.4373426
629	735.3354457
630	735.277657
631	735.0330262
632	734.8593057
633	734.8009331
634	734.7532741
635	734.7334211
636	734.3629189
637	734.0399992
638	733.9324327
639	733.9132858
640	733.8475313
641	733.8449285
642	733.6918864
643	733.6426779
644	733.577518
645	733.5336507
646	733.4887975
647	733.3791167
648	733.2422565
649	733.0101176
650	732.8460161
651	732.7904927
652	732.7219153
653	732.6594442
654	732.6057706
655	732.5129909
656	732.4986931
657	732.4161179
658	732.4071634
659	732.3398279
660	732.2827841
661	732.1979972
662	731.966392
663	731.9273272
664	731.8898244
665	731.8466096
666	731.6163235
667	731.5331286
668	731.4940599
669	731.4187526
670	731.3624764
671	731.3270838
672	731.3041609
673	731.1773226
674	731.1678388
675	731.1611853
676	731.1016027
677	730.9193101
678	730.8614878
679	730.7756676
680	730.6566131
681	730.5019392
682	730.1728603
683	730.1107968
684	729.8610677
685	729.7486178
686	729.7414684
687	729.5874684
688	729.4603101
689	729.3067271
690	729.2049575
691	729.0566798
692	729.0265905
693	728.9834165
694	728.9558001
695	728.9011867
696	728.8310886
697	728.7172525
698	728.6393496
699	728.582591
700	728.3318358
701	728.3280347
702	728.2924712
703	728.2453545
704	728.1847299
705	728.1164506
706	728.0581967
707	728.0542889
708	728.027835
709	727.9922992
710	727.9893694
711	727.9726259
712	727.9066041
713	727.8892694
714	727.845867
715	727.7407302
716	727.6784207
717	727.436851
718	727.4155425
719	727.0198851
720	726.7647185
721	726.6988054
722	726.6838846
723	726.6639622
724	726.6470107
725	726.4580158
726	726.4316786
727	726.3777665
728	726.3402279
729	726.2228566
730	726.0854275
731	726.010348
732	725.8357006
733	725.8294352
734	725.8268933
735	725.7949541
736	725.787642
737	725.7832849
738	725.7054817
739	725.5463568
740	725.4855296
741	725.4558827
742	725.4054773
743	725.2669202
744	725.1983722
745	725.0797073
746	725.0718439
747	725.0252676
748	725.0179927
749	724.8996086
750	724.8964044
751	724.6463242
752	724.5804461
753	724.4306956
754	724.3816001
755	724.3125751
756	724.1348449
757	724.1018406
758	723.9810707
759	723.9629657
760	723.9045986
761	723.8407553
762	723.7324021
763	723.6669278
764	723.6030755
765	723.5713358
766	723.5686455
767	723.4955403
768	723.4742417
769	723.3648701
