,age,disabl,emps,empstab,female_child_married,female_circumcised,female_contraceptives_decision,female_healthcare_decision,female_labour_participation_rate,female_unemployment_rate,female_violence_emotional,female_violence_physical,female_violence_sexual,hlthins,household_size,hrswk,hrswksc,immigr,lit,mart_d,n_other_employed,numwrk,p_middle_class,p_poor_population,secjob,sex,socsec,tenure,totwag,unempdur,yeduc,water_productivity,surface_water_mean,ground_water_mean,supply_demand_ratio,water_supply,water_demand,gdp_pc,rwi_median,precipitation,potentialevapotransporation,drain_length,canal_length,cattle,chicken,goats,sheeps,fraction_small,fraction_medium,fraction_large,arable_km2_scaled,producer_price,rural_population,salinity,corrected_yield_pp,corrected_yield_Alfalfa for forage,corrected_yield_Maize (incl. 0067 and 0068),"corrected_yield_Rice, paddy",corrected_yield_Sugar cane,corrected_yield_Wheat,hectares_Alfalfa for forage,hectares_Maize (incl. 0067 and 0068),"hectares_Rice, paddy",hectares_Sugar cane,hectares_Wheat,arable_km2
female_violence_emotional,0.2504847004133026,,,-0.24073978908235666,-0.1319461332226868,0.06605070509999274,-0.26006685728589213,-0.3980181143990471,-0.6584224735984352,0.2548266243451308,1.0,0.8265182931078522,0.5681004637372393,0.1219448705912962,-0.020906798964500345,-0.17467930159639425,,-0.17295418694444256,0.05664025272612417,-0.1601135861806881,-0.15271679866254212,,-0.2047738099677154,0.1934291889632002,-0.5445717910479511,,0.09497736427209735,-0.12143389357223525,0.12104777273232017,,-0.13672741097367078,0.3939987534677322,0.6034233391505177,0.23001180403975557,0.1511281809684954,-0.09346400011158121,-0.09452890363588447,-0.39964563360659866,0.3380547716440975,-0.25197210926137364,0.27351539844031064,-0.13745590896704865,0.3706757481040355,0.27077348781920957,0.3087407686574674,0.4444576182866221,0.39269312711175963,0.19299869341908746,-0.22238627083738818,-0.26502744855410587,0.2988893817474417,0.06879490743880269,-0.41972436434628424,-0.1737668593034958,0.24634675897861133,0.18837978899281196,0.3349445559310903,0.006200054157947084,0.3139246933726401,0.48212620431754943,0.21084380084129054,0.30039692572180515,0.03494041441276425,0.31930329366273225,0.4729885416523142,0.07579687678552696
female_violence_physical,-0.023515615252180343,,,-0.025187204231412363,0.016414564006527493,0.1964840990013853,-0.16450208047647194,-0.4407704299051566,-0.4331385063223891,0.323538862639447,0.8265182931078522,1.0,0.723158360180095,0.19972840240247056,0.21638813536433255,-0.13729467244360927,,0.12835138454774694,0.03275793883570533,-0.025068930836418264,0.1201000120659731,,-0.36555218752946417,0.36742978635030005,-0.5501796862539639,,0.16531170049433572,0.014566241941586905,-0.05554084399460804,,-0.1950094559317293,0.10754623412657832,0.5349712751959629,0.19131313244649353,0.32844917360467996,-0.4150237803029769,-0.4227494951142256,-0.16870844098261367,0.04352365891833804,-0.3632810289895833,0.39009587379710364,-0.22422781230651184,0.34147965248982415,0.2926881003687802,0.3557639993078429,0.48643493577998487,0.3929073167496678,-0.038712672244616685,0.025591606934320204,-0.022200502027895683,0.07964845975563307,-0.3165072194700394,-0.17172052420211137,0.02448361062336048,0.10182434948030827,0.015696728564924958,0.44030892818833695,0.008241326342591301,-0.009543704070855991,0.5048955786735387,0.0848644175175353,0.45328118542845247,0.09299928021222015,-0.008693190018805783,0.5006438680165626,-0.005555649834795043
female_violence_sexual,-0.03901006911480639,,,0.14144808322447067,-0.1301127342860064,0.27714228337711444,-0.2633207768177748,-0.48712002621447553,-0.4800481732284957,0.31708159607377506,0.5681004637372393,0.723158360180095,1.0,0.1840788426232814,0.2668112976785198,-0.06793443576214435,,0.3596569810184547,-0.09981257875771012,-0.0006608463246381485,0.12221655476254152,,-0.2763174062737339,0.2596149860109664,-0.49822233813898137,,0.23770173441129497,-0.10136033914142951,-0.21701611759237693,,-0.3083787772924753,-0.02574084972578488,0.49811864805157674,0.27384073624060645,0.03237853634495652,-0.22128531766798265,-0.23187170756822978,-0.16117641284424267,0.007611898499800382,-0.37570198979482894,0.3791167449404019,-0.3457043340040142,0.23168000374380807,0.4513054491388528,0.5158897046382559,0.5062180588367444,0.4718668533050381,-0.16796425314916424,0.13047526375545523,0.05831922197804529,0.2998658285274097,-0.35233426256277167,-0.44950905651161666,0.28301468457495926,0.11638148193485642,0.031914366777031355,0.36996906151039743,0.25266087381896596,-0.21798694465894636,0.47393311311391606,0.15731052636274986,0.4222093422790139,0.33264934265178736,-0.2093249788114314,0.49133894233621744,0.09801349363193511
hlthins,-0.10911631640874353,,,-0.2861016761771501,-0.22334918429288106,-0.13908278967366877,0.20761157682242082,0.11572050259238148,0.10446312349084473,-0.12171069624242259,0.1219448705912962,0.19972840240247056,0.1840788426232814,1.0,0.30110484227349615,0.2747771368781844,,-0.14727265580381715,0.28444743186729715,-0.0681479337300036,0.40996444385351744,,0.43747565451842707,-0.46147225333693537,-0.16723864049937612,,0.812581938706207,0.07864828983883747,0.6163915279304149,,0.2620094247197497,-0.12158127629381624,-0.1908240432550789,-0.22871990651225127,-0.2838993239355066,-0.04180325024110816,-0.0408264396395328,0.5354848339272427,-0.1975689917532407,0.13421187210455957,-0.34410270857917524,-0.45188376448402784,-0.4746292370270501,-0.06413452290312818,0.08622827029506178,-0.27618261933561167,-0.29808270750276256,-0.46179997350893426,0.4041849799986392,-0.19249424171353502,-0.15041336694207377,0.15460994736752873,-0.09745928410269498,0.21376925513206002,-0.2795800113589481,-0.2500924249720513,-0.30428723963573223,0.025970925378748018,-0.26978554851538605,-0.320678505673896,-0.20762553773322348,-0.270250539489237,0.15832964703457905,-0.2687624531032011,-0.30471761923992136,-0.15742653114290311
household_size,-0.3082427187280329,,,0.10613908997349465,0.3016857224669397,0.5244947572227386,0.30712137635650555,-0.21235341809576608,-0.10565926011166307,-0.17627677575243828,-0.020906798964500345,0.21638813536433255,0.2668112976785198,0.30110484227349615,1.0,-0.17675587268416632,,0.4004036293571034,0.02627623102672513,-0.18827945650569528,0.8062965835695008,,-0.589750358164817,0.5568204587518513,-0.19794751425948023,,0.4221617455542142,-0.17769781990947675,-0.09024020717458651,,-0.04198540826035956,-0.25085029323656755,0.2229782115192374,-0.04955197055182566,0.43380752772651016,-0.3290898506343129,-0.3414221038654023,0.23055960863353342,-0.5164075133289572,-0.516580909129062,0.5390957806478542,-0.6040909650642111,0.1276250967042041,0.08033954446765341,-0.001249064220322679,0.37153844948274956,0.284555477571471,-0.39178762278288454,0.36368266107109715,-0.11020062958685914,-0.2329472526560781,-0.4195765486157891,0.0856625420784566,0.26457635356169645,0.08197758536046913,0.013779936772509232,0.3971919252230819,-0.14131194785329054,-0.32970568648924997,0.4633559828407334,0.10897787344435778,0.520715294871817,-0.15749731098393668,-0.32972362930975596,0.48366197755655793,-0.10623042689180662
hrswk,-0.24390926952806422,,,0.40154334182726253,-0.012961693627087724,-0.48870834071930774,0.017319874835899564,0.6800996739391247,0.1176270125442583,-0.08514101392752291,-0.17467930159639425,-0.13729467244360927,-0.06793443576214435,0.2747771368781844,-0.17675587268416632,1.0,,-0.25274589684940446,-0.24996204721947032,0.7199898945904236,-0.11908541206392638,,0.409294427481949,-0.4047026469210273,0.2872846794965085,,0.30373941124752846,0.5040215126348166,0.35068583241044404,,-0.25469965873356,-0.4401100371508213,-0.514135100482884,-0.33456651427726514,-0.18344692763934614,0.26675923074378843,0.2669734177862985,0.10300798661121614,-0.03788228927300839,0.23790667269807655,-0.4849359327224992,0.3985250336996185,-0.24615734431987923,-0.31203542651891586,0.04400691382046637,-0.5207836415742891,-0.5916132044644117,-0.00742340943981786,-0.04694262647318259,-0.17745635385938774,-0.45014824020400074,0.2176396846774177,0.1546432256888106,0.39625691488833786,-0.12163278023082316,-0.05152866304546015,-0.279300076923715,-0.298867753077651,-0.38693862510731364,-0.3451324250802876,-0.049196537328641196,-0.1914630237048129,-0.10016773099222676,-0.3934488748875213,-0.3187815667296682,-0.5802007459206154
hrswksc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
immigr,-0.16341060475522734,,,0.28813174282974624,0.11777568145039467,0.512432678716805,0.17926457348038943,-0.2656703339832441,-0.2410361089732858,0.15194108581616536,-0.17295418694444256,0.12835138454774694,0.3596569810184547,-0.14727265580381715,0.4004036293571034,-0.25274589684940446,,1.0,-0.10477935798652126,-0.1454884897775076,0.3294049735261768,,-0.5466130831283197,0.5141385410074183,-0.003089992187899471,,-0.11051843527005224,-0.0038247890387274955,-0.7520730226283715,,-0.19761511667632145,-0.2356678849312844,0.24205988717059437,0.18292045962321052,0.12947052364475362,-0.2917306701238667,-0.2996030665972494,0.16703439323142077,0.03432428690290781,-0.5477755960931929,0.5760482414175337,-0.08922038689970685,0.31842869364257687,0.2824480576810686,0.20924235617997644,0.41497599064984975,0.40611324801671117,-0.024384483941203853,-0.022385340891210317,-0.13038269370835243,0.2190721941546588,-0.6165513456144076,-0.2376041377434726,0.21249675212607635,0.1788110754496026,0.10840844469838681,0.3872984407402804,0.3151493507275557,-0.16637488585939061,0.37903857574241256,0.21354528977486745,0.4725098333361709,0.26419113039366454,-0.1682576343661955,0.3914606142648783,-0.10115282773647331
lit,-0.5146239162619676,,,-0.3292877709094917,-0.30369894335064485,-0.02720214915437327,0.4009882162206077,-0.11706760788281081,0.1928852618056221,-0.25147651549141664,0.05664025272612417,0.03275793883570533,-0.09981257875771012,0.28444743186729715,0.02627623102672513,-0.24996204721947032,,-0.10477935798652126,1.0,-0.06907881861664465,0.0855813894642392,,0.24607183896284043,-0.24500330869004078,0.1428109109668982,,0.12037852541517882,0.1549916798649302,0.26769501392637224,,0.9299845816807144,-0.21875664832063957,0.09682641314518517,0.1937986284127454,-0.03776914944189882,-0.08772244577188999,-0.07568982248294945,0.41203945958797866,-0.15661157318879898,0.36906513955597914,-0.2995771827842704,-0.618696743220698,-0.3119958219374896,0.12986116211204665,-0.02227662451465013,0.007939776302601112,0.05088934208866685,-0.2628037832379729,0.27483384947041906,0.07745630078829935,-0.06661197273676313,0.09339656625053808,0.024870589178550135,-0.3292477881322197,0.10614769819075667,0.12526341391510248,0.006648048334349604,-0.06892821829376052,-0.1421467861732964,0.0004349443673737755,0.10227378709024607,-0.10941862327558793,-0.06214111187955312,-0.13688720767301793,-0.014900497338933682,0.1110600372483861
mart_d,-0.4980871084150202,,,0.7698273008354022,0.039044183524438426,-0.353857459737292,-0.007382038172098789,0.26244988146476567,0.20830915947994297,0.15779382012858342,-0.1601135861806881,-0.025068930836418264,-0.0006608463246381485,-0.0681479337300036,-0.18827945650569528,0.7199898945904236,,-0.1454884897775076,-0.06907881861664465,1.0,-0.09851558838674271,,0.2215609666696427,-0.21154916300238513,0.15380615976703965,,-0.008154072376132512,0.744378649343476,0.047557362286776886,,-0.12060220691403539,-0.6725241802441441,-0.26462055844742205,0.08095654964286005,0.20386877397833422,0.11224725202515404,0.114598504508931,0.05915863393488574,-0.02978058858154393,0.21579716862762116,-0.31767563302975493,0.37365985114315503,0.06542411737587034,-0.04040879519259433,0.2204942200871013,-0.21897153205240863,-0.2840196870957358,0.12041402697515341,-0.10768346618952157,0.10857052225390414,-0.6082424440985682,-0.01195330001418409,0.3461509910131584,0.09928876510254668,0.22961311756738892,0.28659885361240395,0.12075822705810299,-0.4707941114946939,-0.6604700054673532,-0.0341894681463006,0.26522302188429003,0.1429689144061218,-0.2932161992846312,-0.6662013754216988,-0.026479563791050136,-0.5077991233870763
